Data,Histórico,Valor,Saldo Atual
20/02/2024,APOSENTADORIA - INSS,3200.00,3200.00
21/02/2024,DEBITO AUTOMATICO - ALUGUEL,-950.00,2250.00
22/02/2024,COMPRA CARTAO - SUPERMERCADO EXTRA,-134.60,2115.40
23/02/2024,TRANSFERENCIA PIX - PAGAMENTO CONTA LUZ,-89.50,2025.90
24/02/2024,COMPRA CARTAO - RESTAURANTE ITALIANO,-145.00,1880.90
25/02/2024,DEBITO AUTOMATICO - PLANO DE SAUDE,-380.00,1500.90
26/02/2024,COMPRA CARTAO - LOJA DE CALCADOS,-280.00,1220.90
27/02/2024,TRANSFERENCIA RECEBIDA - PENSÃO ALIMENTÍCIA,1200.00,2420.90
28/02/2024,COMPRA CARTAO - FARMACIA DROGASIL,-67.80,2353.10
29/02/2024,DEBITO AUTOMATICO - INTERNET VIVO,-79.90,2273.20 