Data,Histórico,Valor,Tipo
15/01/2024,CREDITO SALARIO REF 01/2024,3500.00,CREDITO
16/01/2024,DEBITO AUTOMATICO - ALUGUEL,-1200.00,DEBITO
17/01/2024,COMPRA CARTAO - SUPERMERCADO PAO DE ACUCAR,-89.75,DEBITO
18/01/2024,TRANSFERENCIA ENVIADA - MARIA SANTOS,-500.00,DEBITO
19/01/2024,COMPRA CARTAO - POSTO IPIRANGA,-85.50,DEBITO
20/01/2024,DEBITO AUTOMATICO - PLANO DE SAUDE,-450.00,DEBITO
21/01/2024,COMPRA CARTAO - RESTAURANTE CHURRASCARIA,-120.00,DEBITO
22/01/2024,TRANSFERENCIA RECEBIDA - FREELANCE,800.00,CREDITO
23/01/2024,COMPRA CARTAO - FARMACIA DROGARIA,-67.30,DEBITO
24/01/2024,DEBITO AUTOMATICO - INTERNET TELEFONE,-89.90,DEBITO 